IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending
107091,1-Jan-09,2009,1:43:01,1,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,NW2,E09000005,BRENT,Brent,E05000088,Dollis Hill,Dollis Hill,,,522650,186050,London,Willesden,,,,,1.0,1.0
109091,1-Jan-09,2009,1:44:06,1,Special Service,Special Service,RTC,Road Vehicle,Car ,In street close to gazetteer location,SE1 9BG,SE1,E09000028,SOUTHWARK,Southwark,E05000548,Riverside,Riverside,532801.0,180433.0,532850,180450,London,Dowgate,,,,,1.0,1.0
111091,1-Jan-09,2009,1:45:53,1,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,SE9 6TS,SE9,E09000011,GREENWICH,Greenwich,E05000220,Eltham West,Eltham West,542494.0,175639.0,542450,175650,London,Eltham,,,,,2.0,2.0
110091,1-Jan-09,2009,1:46:04,1,Special Service,Special Service,RTC,Road Vehicle,Car ,In street close to gazetteer location,SE9 2PH,SE9,E09000011,GREENWICH,Greenwich,E05000219,Eltham South,Eltham South,544733.0,174409.0,544750,174450,London,Eltham,,,,,1.0,1.0
114091,1-Jan-09,2009,1:47:42,1,False Alarm,AFA,,Other Residential,Student Hall of Residence ,Correct incident location,KT1 4AG,KT1,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05000522,Hampton Wick,Hampton Wick,517494.0,169381.0,517450,169350,London,Twickenham,,,,,2.0,3.0
118091,1-Jan-09,2009,1:50:38,1,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,SW9,E09000022,LAMBETH,Lambeth,E05000425,Larkhall,Larkhall,,,530250,175950,London,Brixton,,,,,1.0,2.0
123091,1-Jan-09,2009,2:00:49,2,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,RM8 1UD,RM8,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05000040,Valence,Valence,547558.0,187166.0,547550,187150,London,Dagenham,,,,,1.0,1.0
125091,1-Jan-09,2009,2:05:15,2,Special Service,Special Service,RTC,Outdoor,Road surface/pavement ,In street outside gazetteer location,E15 4NL,E15,E09000025,NEWHAM,Newham,E05000484,Forest Gate South,Forest Gate South,539346.0,184776.0,539350,184750,London,Stratford,,,,,1.0,2.0
131091,1-Jan-09,2009,2:24:35,2,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E1,E09000030,TOWER HAMLETS,Tower Hamlets,E05009317,Bethnal Green,Bethnal Green,,,535050,182150,London,Bethnal Green,,,,,1.0,1.0
132091,1-Jan-09,2009,2:33:45,2,Fire,Secondary Fire,,Outdoor,Loose refuse ,In street outside gazetteer location,SE20 8PW,SE20,E09000006,BROMLEY,Bromley,E05000116,Crystal Palace,Crystal Palace,534713.0,170217.0,534750,170250,London,Beckenham,,,,,1.0,1.0
